dealer_code,dealer_name,region,active,dealer_token,contact_email
H3100,Berwick GWM,Southern Region,TRUE,,
H3101,Doncaster GWM,Southern Region,TRUE,,
H3104,Astoria GWM,Southern Region,TRUE,,
H3107,Melton GWM,Southern Region,TRUE,,
H3128,Werribee GWM,Southern Region,TRUE,,
H3161,Peninsula GWM,Southern Region,TRUE,,
H3163,Ringwood GWM,Southern Region,TRUE,,
H3182,Ralph D'Silva GWM,Southern Region,TRUE,,
H3167,Essendon GWM,Southern Region,TRUE,,
H3318,Thompson GWM (Shepparton),Southern Region,TRUE,,
H3315,Valley GWM,Southern Region,TRUE,,
H7215,Hobart GWM,Southern Region,TRUE,,
H7309,Launceston GWM,Southern Region,TRUE,,
H3230,Geelong GWM,Southern Region,TRUE,,
H3236,Bendigo GWM,Southern Region,TRUE,,
H3176,South Morang GWM,Southern Region,TRUE,,
H3179,Burwood GWM,Southern Region,TRUE,,
H3185,Knox GWM,Southern Region,TRUE,,
H3196,Western GWM,Southern Region,TRUE,,
H3195,Pakenham GWM,Southern Region,TRUE,,
H3239,Ballarat GWM,Southern Region,TRUE,,
H3336,Thompson GWM (Echuca),Southern Region,TRUE,,
H3342,Horsham GWM,Southern Region,TRUE,,
H3188,Blackburn GWM,Southern Region,TRUE,,
H3191,Lilydale GWM,Southern Region,TRUE,,
H3333,Blacklocks GWM (Albury),Southern Region,TRUE,,
H3330,Warrnambool GWM,Southern Region,TRUE,,
H3110,Dandenong GWM,Southern Region,TRUE,,
H3345,Peter Dullard GWM (Bairnsdale),Southern Region,TRUE,,
H3111,Melbourne CBD,Southern Region,TRUE,,
